id,date,target
AS14.17,2014-04-04,7.0
AS14.17,2014-04-05,7.0
AS14.17,2014-04-06,7.25
AS14.17,2014-04-07,7.0
AS14.17,2014-04-08,7.0
AS14.17,2014-04-09,7.0
AS14.17,2014-04-10,6.75
AS14.17,2014-04-11,7.2
AS14.17,2014-04-12,7.2
AS14.17,2014-04-13,7.2
AS14.17,2014-04-14,7.0
AS14.17,2014-04-15,7.0
AS14.17,2014-04-16,7.2
AS14.17,2014-04-17,7.0
AS14.17,2014-04-18,7.0
AS14.17,2014-04-19,7.0
AS14.17,2014-04-20,7.2
AS14.17,2014-04-21,7.4
AS14.17,2014-04-22,6.6
AS14.17,2014-04-23,7.25
AS14.17,2014-04-24,7.2
AS14.17,2014-04-25,7.2
AS14.17,2014-04-26,8.0
AS14.17,2014-04-27,7.2
AS14.17,2014-04-28,6.75
AS14.17,2014-04-29,7.0
AS14.17,2014-04-30,7.0
AS14.17,2014-05-01,8.0
AS14.17,2014-05-02,7.0
AS14.17,2014-05-03,7.25
AS14.17,2014-05-04,7.375
AS14.17,2014-05-05,7.5
AS14.19,2014-03-26,6.0
AS14.19,2014-03-27,6.6
AS14.19,2014-03-28,6.6
AS14.19,2014-03-29,7.4
AS14.19,2014-03-30,7.0
AS14.19,2014-03-31,7.2
AS14.19,2014-04-01,6.4
AS14.19,2014-04-02,7.6
AS14.19,2014-04-03,6.6
AS14.19,2014-04-04,7.0
AS14.19,2014-04-05,8.0
AS14.19,2014-04-06,7.25
AS14.19,2014-04-07,6.6
AS14.19,2014-04-08,6.8
AS14.19,2014-04-09,7.2
AS14.19,2014-04-10,6.75
AS14.19,2014-04-11,6.8
AS14.19,2014-04-12,7.2
AS14.19,2014-04-13,7.2
AS14.19,2014-04-14,7.0
AS14.19,2014-04-15,6.4
AS14.19,2014-04-16,6.8
AS14.19,2014-04-17,6.8
AS14.19,2014-04-18,6.8
AS14.19,2014-04-19,6.8
AS14.19,2014-04-20,7.6
AS14.19,2014-04-21,6.4
AS14.19,2014-04-22,6.8
AS14.19,2014-04-23,6.0
AS14.19,2014-04-24,6.6
AS14.19,2014-04-25,7.25
AS14.19,2014-04-26,7.75
AS14.19,2014-04-27,6.333333333333333
AS14.19,2014-04-28,6.4
AS14.19,2014-04-29,7.2
AS14.19,2014-04-30,7.0
AS14.19,2014-05-01,6.8
AS14.19,2014-05-02,7.8
AS14.19,2014-05-03,7.4
AS14.19,2014-05-04,6.6
AS14.19,2014-05-05,7.0
AS14.20,2014-03-27,7.0
AS14.20,2014-03-28,6.25
AS14.20,2014-03-29,7.4
AS14.20,2014-03-30,7.5
AS14.20,2014-03-31,7.0
AS14.20,2014-04-01,6.25
AS14.20,2014-04-02,6.5
AS14.20,2014-04-03,6.666666666666667
AS14.20,2014-04-04,7.0
AS14.20,2014-04-05,7.0
AS14.20,2014-04-06,7.0
AS14.20,2014-04-07,6.8
AS14.20,2014-04-08,7.25
AS14.20,2014-04-09,7.75
AS14.20,2014-04-10,7.0
AS14.20,2014-04-11,7.5
AS14.20,2014-04-12,6.8
AS14.20,2014-04-13,6.8
AS14.20,2014-04-14,6.8
AS14.20,2014-04-15,6.8
AS14.20,2014-04-16,7.2
AS14.20,2014-04-17,6.4
AS14.20,2014-04-18,6.75
AS14.20,2014-04-19,7.5
AS14.20,2014-04-20,7.6
AS14.20,2014-04-21,7.4
AS14.20,2014-04-22,6.4
AS14.20,2014-04-23,7.0
AS14.20,2014-04-24,7.0
AS14.20,2014-04-25,7.0
AS14.20,2014-04-26,7.0
AS14.20,2014-04-27,6.8
AS14.20,2014-04-28,6.8
AS14.20,2014-04-29,7.25
AS14.20,2014-04-30,7.0
AS14.23,2014-03-27,7.0
AS14.23,2014-03-28,7.0
AS14.23,2014-03-29,7.25
AS14.23,2014-03-30,7.0
AS14.23,2014-03-31,7.5
AS14.23,2014-04-01,7.5
AS14.23,2014-04-02,7.0
AS14.23,2014-04-03,7.0
AS14.23,2014-04-04,7.0
AS14.23,2014-04-05,6.5
AS14.23,2014-04-06,7.0
AS14.23,2014-04-07,5.75
AS14.23,2014-04-08,6.6
AS14.23,2014-04-09,7.2
AS14.23,2014-04-10,7.0
AS14.23,2014-04-11,7.0
AS14.23,2014-04-12,7.75
AS14.23,2014-04-13,7.2
AS14.23,2014-04-14,7.225
AS14.23,2014-04-15,7.25
AS14.23,2014-04-16,7.4
AS14.23,2014-04-17,7.4
AS14.23,2014-04-18,7.6
AS14.23,2014-04-19,7.75
AS14.23,2014-04-20,7.75
AS14.23,2014-04-21,7.2
AS14.23,2014-04-22,6.2
AS14.23,2014-04-23,7.0
AS14.23,2014-04-24,7.4
AS14.23,2014-04-25,7.8
AS14.23,2014-04-26,7.5
AS14.23,2014-04-27,7.0
AS14.23,2014-04-28,7.6
AS14.23,2014-04-29,7.4
AS14.23,2014-04-30,9.0
AS14.23,2014-05-01,9.0
